CLUE_Area,Suburb,venue_count,distance_km
Carlton,Carlton,7837,2.0
Docklands,Docklands,5349,1.1
East Melbourne,East Melbourne,1608,
Kensington,Kensington,1013,3.7
Melbourne (CBD),Melbourne,37621,0.1
Melbourne (Remainder),Melbourne,1556,0.1
North Melbourne,North Melbourne,3122,
Parkville,Parkville,1189,2.4
Port Melbourne,Port Melbourne,565,3.3
South Yarra,South Yarra,356,
Southbank,Southbank,4241,1.0
West Melbourne (Industrial),West Melbourne,187,
West Melbourne (Residential),West Melbourne,1712,
