ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
66120251023,66,2025-10-23,1,30,16,46,QVN_T,"-37.81057846, 144.96444294"
541020251030,54,2025-10-30,10,144,89,233,Swa607_T,"-37.804024, 144.96308399"
143720251012,143,2025-10-12,7,49,99,148,Spencer_T,"-37.821728, 144.95557015"
1321920251027,132,2025-10-27,19,127,146,273,King335_T,"-37.81267639, 144.95386444"
132420251019,132,2025-10-19,4,21,11,32,King335_T,"-37.81267639, 144.95386444"
1842320251017,184,2025-10-17,23,258,299,557,Eli124_T,"-37.81512416, 144.96371988"
251520251005,25,2025-10-05,15,1161,1288,2449,MCEC_T,"-37.82401776, 144.95604426"
1852320251008,185,2025-10-08,23,188,151,339,Eli197_T,"-37.81374643, 144.96276183"
171620251027,17,2025-10-27,16,234,385,619,Col15_T,"-37.81362543, 144.97323591"
42720251012,42,2025-10-12,7,9,12,21,UM1_T,"-37.80008566, 144.96386412"
291320251015,29,2025-10-15,13,269,336,605,AG_T,"-37.8199817, 144.96872865"
591220251003,59,2025-10-03,12,1097,1096,2193,RMIT_T,"-37.80825648, 144.96304859"
133220251007,133,2025-10-07,2,8,9,17,Spen229_T,"-37.81531435, 144.95227769"
632120251004,63,2025-10-04,21,301,453,754,Bou231_T,"-37.81333081, 144.96675571"
62820251025,62,2025-10-25,8,57,45,102,Lat224_T,"-37.80996494, 144.96216521"
2101120251009,210,2025-10-09,11,26,41,67,WatCit_T,"-37.8157484, 144.93978108"
172020251006,17,2025-10-06,20,67,87,154,Col15_T,"-37.81362543, 144.97323591"
2111220251023,211,2025-10-23,12,609,671,1280,SouthB_T,"-37.82020539, 144.96499384"
136720251026,136,2025-10-26,7,33,27,60,BirFed1120_T,"-37.8184141, 144.97357915"
1081820251020,108,2025-10-20,18,498,184,682,261Will_T,"-37.81295822, 144.95678789"
1311620251008,131,2025-10-08,16,78,124,202,King2_T,"-37.82009057, 144.95758725"
582020251018,58,2025-10-18,20,343,287,630,Bou688_T,"-37.81686075, 144.95358075"
591620251011,59,2025-10-11,16,633,568,1201,RMIT_T,"-37.80825648, 144.96304859"
1351320251021,135,2025-10-21,13,421,475,896,Spen161_T,"-37.8172861, 144.95319102"
133520251016,133,2025-10-16,5,79,76,155,Spen229_T,"-37.81531435, 144.95227769"
184020251026,184,2025-10-26,0,89,167,256,Eli124_T,"-37.81512416, 144.96371988"
1791820251024,179,2025-10-24,18,91,84,175,Pow61_T,"-37.82392385, 144.96299677"
851820251029,85,2025-10-29,18,91,92,183,488Mac_T,"-37.79432415, 144.92973378"
861120251001,86,2025-10-01,11,60,45,105,574Qub_T,"-37.80309992, 144.94908064"
191020251013,19,2025-10-13,10,179,140,319,LtB210_T,"-37.81237202, 144.96550671"
134820251022,134,2025-10-22,8,126,237,363,Spen201_T,"-37.81694221, 144.95303935"
2420251016,2,2025-10-16,4,4,3,7,Bou283_T,"-37.81380668, 144.96516718"
621320251016,62,2025-10-16,13,291,239,530,Lat224_T,"-37.80996494, 144.96216521"
