weekday,hour,avg_pedestrians
Monday,0,51.57
Monday,1,28.52
Monday,2,19.00
Monday,3,14.66
Monday,4,13.43
Monday,5,27.97
Monday,6,86.14
Monday,7,211.83
Monday,8,447.17
Monday,9,387.71
Monday,10,387.93
Monday,11,449.11
Monday,12,686.80
Monday,13,689.45
Monday,14,593.77
Monday,15,615.44
Monday,16,698.55
Monday,17,839.73
Monday,18,630.17
Monday,19,450.34
Monday,20,337.33
Monday,21,260.17
Monday,22,166.40
Monday,23,94.40
Tuesday,0,43.55
Tuesday,1,25.72
Tuesday,2,19.17
Tuesday,3,12.61
Tuesday,4,12.94
Tuesday,5,30.82
Tuesday,6,112.71
Tuesday,7,281.53
Tuesday,8,614.04
Tuesday,9,480.92
Tuesday,10,432.77
Tuesday,11,513.65
Tuesday,12,816.08
Tuesday,13,807.62
Tuesday,14,658.54
Tuesday,15,680.29
Tuesday,16,777.58
Tuesday,17,998.71
Tuesday,18,746.97
Tuesday,19,513.74
Tuesday,20,383.25
Tuesday,21,301.64
Tuesday,22,194.50
Tuesday,23,102.03
Wednesday,0,48.09
Wednesday,1,28.69
Wednesday,2,18.02
Wednesday,3,14.26
Wednesday,4,13.71
Wednesday,5,30.84
Wednesday,6,112.80
Wednesday,7,261.07
Wednesday,8,558.84
Wednesday,9,430.35
Wednesday,10,393.41
Wednesday,11,506.63
Wednesday,12,794.83
Wednesday,13,785.74
Wednesday,14,657.42
Wednesday,15,668.27
Wednesday,16,776.64
Wednesday,17,957.56
Wednesday,18,718.71
Wednesday,19,477.86
Wednesday,20,368.23
Wednesday,21,315.65
Wednesday,22,218.05
Wednesday,23,114.91
Thursday,0,49.10
Thursday,1,29.40
Thursday,2,18.77
Thursday,3,14.84
Thursday,4,13.30
Thursday,5,31.52
Thursday,6,112.38
Thursday,7,275.53
Thursday,8,606.87
Thursday,9,482.73
Thursday,10,458.08
Thursday,11,542.43
Thursday,12,833.36
Thursday,13,819.73
Thursday,14,681.49
Thursday,15,705.63
Thursday,16,795.39
Thursday,17,1004.05
Thursday,18,759.20
Thursday,19,568.24
Thursday,20,458.38
Thursday,21,373.48
Thursday,22,249.91
Thursday,23,151.15
Friday,0,72.22
Friday,1,43.30
Friday,2,26.53
Friday,3,20.34
Friday,4,16.71
Friday,5,32.53
Friday,6,101.76
Friday,7,211.55
Friday,8,448.09
Friday,9,427.88
Friday,10,466.68
Friday,11,551.51
Friday,12,731.27
Friday,13,744.99
Friday,14,700.60
Friday,15,728.99
Friday,16,793.54
Friday,17,933.20
Friday,18,836.07
Friday,19,700.53
Friday,20,574.15
Friday,21,512.97
Friday,22,458.25
Friday,23,397.02
Saturday,0,160.60
Saturday,1,93.53
Saturday,2,61.35
Saturday,3,44.79
Saturday,4,26.98
Saturday,5,25.57
Saturday,6,53.10
Saturday,7,105.89
Saturday,8,198.54
Saturday,9,343.40
Saturday,10,492.64
Saturday,11,651.85
Saturday,12,760.91
Saturday,13,827.72
Saturday,14,855.56
Saturday,15,863.82
Saturday,16,851.31
Saturday,17,805.75
Saturday,18,777.23
Saturday,19,676.39
Saturday,20,542.06
Saturday,21,469.84
Saturday,22,400.72
Saturday,23,341.51
Sunday,0,184.39
Sunday,1,113.38
Sunday,2,76.94
Sunday,3,67.73
Sunday,4,43.93
Sunday,5,49.76
Sunday,6,75.70
Sunday,7,125.91
Sunday,8,190.89
Sunday,9,302.20
Sunday,10,444.37
Sunday,11,543.05
Sunday,12,622.46
Sunday,13,670.07
Sunday,14,710.94
Sunday,15,682.10
Sunday,16,605.68
Sunday,17,562.93
Sunday,18,508.13
Sunday,19,364.51
Sunday,20,303.82
Sunday,21,236.04
Sunday,22,176.71
Sunday,23,105.18
