weekday,hour,avg_pedestrians
Monday,18,630.17
Monday,19,450.34
Monday,20,337.33
Monday,21,260.17
Monday,22,166.40
Monday,23,94.40
Tuesday,18,746.97
Tuesday,19,513.74
Tuesday,20,383.25
Tuesday,21,301.64
Tuesday,22,194.50
Tuesday,23,102.03
Wednesday,18,718.71
Wednesday,19,477.86
Wednesday,20,368.23
Wednesday,21,315.65
Wednesday,22,218.05
Wednesday,23,114.91
Thursday,18,759.20
Thursday,19,568.24
Thursday,20,458.38
Thursday,21,373.48
Thursday,22,249.91
Thursday,23,151.15
Friday,18,836.07
Friday,19,700.53
Friday,20,574.15
Friday,21,512.97
Friday,22,458.25
Friday,23,397.02
Saturday,18,777.23
Saturday,19,676.39
Saturday,20,542.06
Saturday,21,469.84
Saturday,22,400.72
Saturday,23,341.51
Sunday,18,508.13
Sunday,19,364.51
Sunday,20,303.82
Sunday,21,236.04
Sunday,22,176.71
Sunday,23,105.18
