Number_of_seats,Longitude,Latitude
75,144.959974759,-37.8187779
70,144.964559723,-37.81793319
12,144.964509018,-37.81783056
30,144.963085709,-37.81845283
11,144.964363152,-37.81807623
40,144.964363152,-37.81807623
22,144.962446939,-37.81799108
42,144.962446939,-37.81799108
20,144.962539312,-37.8181941
16,144.964977252,-37.81719157
2,144.965912235,-37.81706424
68,144.965912235,-37.81706424
6,144.965493819,-37.81710238
8,144.965493819,-37.81710238
56,144.965493819,-37.81710238
70,144.965493819,-37.81710238
2,144.965493819,-37.81710238
20,144.965493819,-37.81710238
25,144.965635799,-37.81760914
7,144.966006762,-37.8175217
52,144.96656112,-37.81725011
50,144.96656112,-37.81725011
120,144.967032418,-37.81735733
50,144.968384516,-37.81635922
8,144.96855231,-37.81663984
67,144.969095624,-37.81671055
40,144.969257194,-37.81598886
28,144.972050554,-37.81584378
80,144.97140194,-37.81543108
80,144.969889263,-37.81579916
80,144.970095732,-37.8164088
10,144.970744714,-37.81595895
120,144.971943724,-37.81587593
200,144.972521701,-37.81506607
12,144.972521701,-37.81506607
36,144.973599309,-37.81528779
12,144.974111302,-37.81454693
180,144.958127973,-37.81854014
76,144.957560445,-37.81866398
126,144.957331632,-37.81918505
4,144.96144846,-37.81730755
20,144.959886102,-37.81797913
20,144.959886102,-37.81797913
20,144.959886102,-37.81797913
82,144.963263212,-37.81706839
75,144.962455707,-37.81728207
88,144.964139616,-37.81697376
32,144.963832578,-37.81662842
130,144.963659244,-37.81686769
68,144.963906499,-37.81720101
50,144.963906499,-37.81720101
12,144.963906499,-37.81720101
6,144.965483843,-37.81664602
4,144.965483843,-37.81664602
30,144.965606003,-37.81660463
10,144.965606003,-37.81660463
11,144.965606003,-37.81660463
6,144.965606003,-37.81660463
6,144.966339898,-37.81584709
6,144.96535013,-37.81620765
30,144.96494251,-37.81662915
15,144.966210107,-37.81642779
120,144.966210107,-37.81642779
108,144.968764736,-37.81543311
12,144.968764736,-37.81543311
42,144.967439797,-37.8158491
150,144.967439797,-37.8158491
60,144.967439797,-37.8158491
30,144.970753855,-37.81492308
6,144.970753855,-37.81492308
80,144.970016705,-37.81473641
981,144.969856095,-37.81516944
10,144.97336456,-37.81383888
470,144.972637449,-37.81430748
12,144.972637449,-37.81430748
12,144.972637449,-37.81430748
96,144.972637449,-37.81430748
18,144.972637449,-37.81430748
60,144.972637449,-37.81430748
92,144.972637449,-37.81430748
6,144.954359995,-37.81867684
28,144.954359995,-37.81867684
4,144.954359995,-37.81867684
36,144.954953485,-37.81850564
4,144.95457828,-37.81861305
80,144.95457828,-37.81861305
70,144.955615457,-37.8178281
40,144.956844258,-37.81767497
33,144.956844258,-37.81767497
32,144.957272402,-37.81780464
52,144.958343357,-37.81753901
88,144.960320678,-37.81680593
80,144.960531979,-37.81643029
85,144.960651729,-37.81669145
140,144.959451344,-37.81730434
24,144.960005936,-37.81679319
100,144.960544863,-37.81625555
28,144.96009875,-37.81638953
50,144.96009875,-37.81638953
90,144.959299375,-37.81713826
6,144.959299375,-37.81713826
140,144.962698454,-37.81601899
16,144.963507065,-37.81592313
48,144.964475587,-37.81529289
52,144.964566859,-37.81567363
68,144.964924097,-37.8153724
190,144.96561285,-37.81483592
28,144.964234875,-37.81529082
16,144.964234875,-37.81529082
34,144.966135192,-37.81528608
18,144.965786792,-37.8150783
44,144.965786792,-37.8150783
20,144.965786792,-37.8150783
53,144.965786792,-37.8150783
65,144.969389109,-37.8139859
50,144.969389109,-37.8139859
80,144.970290678,-37.81396883
20,144.970682048,-37.81354462
28,144.970682048,-37.81354462
137,144.972126626,-37.81325047
20,144.972901314,-37.81330668
52,144.972901314,-37.81330668
8,144.972901314,-37.81330668
15,144.972901314,-37.81330668
16,144.973266912,-37.81314364
180,144.972715851,-37.81290644
100,144.9726046,-37.81315096
20,144.973033132,-37.81280835
20,144.973193019,-37.81260172
150,144.955237452,-37.81686833
15,144.95450209,-37.81732257
8,144.954109934,-37.8172192
90,144.955513424,-37.81708461
32,144.957822709,-37.81636671
12,144.957822709,-37.81636671
38,144.957822709,-37.81636671
20,144.957822709,-37.81636671
16,144.956678287,-37.81651564
34,144.956191456,-37.81652858
80,144.956286507,-37.8167379
8,144.956783481,-37.8169608
15,144.956783481,-37.8169608
95,144.960198073,-37.81547404
650,144.959601964,-37.81588093
40,144.960646121,-37.81581288
60,144.96055036,-37.8155004
6,144.960517141,-37.81527298
44,144.958931831,-37.81630784
30,144.962953623,-37.81491621
32,144.962240109,-37.81513182
60,144.962648292,-37.81528383
30,144.962648292,-37.81528383
100,144.961828025,-37.81514733
54,144.961912337,-37.81533227
100,144.961186457,-37.81538952
15,144.964541708,-37.8144554
55,144.964541708,-37.8144554
12,144.964541708,-37.8144554
40,144.964541708,-37.8144554
60,144.964541708,-37.8144554
28,144.964541708,-37.8144554
8,144.964058421,-37.81458946
56,144.963671668,-37.81443414
122,144.963671668,-37.81443414
120,144.963671668,-37.81443414
40,144.96375247,-37.81484439
38,144.964019006,-37.8148779
30,144.964019006,-37.8148779
120,144.964019006,-37.8148779
12,144.964358022,-37.81473427
10,144.964358022,-37.81473427
14,144.964358022,-37.81473427
45,144.965658769,-37.81422497
48,144.96559218,-37.81407876
30,144.96797783,-37.81311056
45,144.96797783,-37.81311056
24,144.967535715,-37.81324089
36,144.967108192,-37.81346889
6,144.967108192,-37.81346889
130,144.966607844,-37.81376902
25,144.966607844,-37.81376902
25,144.966607844,-37.81376902
14,144.966607844,-37.81376902
28,144.966607844,-37.81376902
40,144.968198564,-37.81367619
30,144.966224997,-37.81412974
28,144.966224997,-37.81412974
100,144.96917474,-37.81280041
64,144.968426193,-37.81298931
90,144.968724809,-37.81343094
16,144.972055105,-37.81193715
100,144.972055105,-37.81193715
38,144.97180589,-37.81200762
160,144.970912182,-37.81223526
55,144.972359875,-37.81207948
30,144.954723215,-37.81627623
4,144.955334847,-37.81622985
38,144.955334847,-37.81622985
40,144.955269522,-37.81608613
6,144.9551587,-37.81584266
20,144.955726312,-37.81571771
20,144.955633863,-37.81551492
20,144.958395986,-37.81527486
26,144.95877017,-37.8149502
38,144.959206395,-37.81499898
20,144.959053722,-37.81456934
9,144.960298597,-37.8148609
10,144.960298597,-37.8148609
72,144.96023379,-37.81468125
60,144.959978141,-37.81428721
75,144.958240425,-37.81492774
30,144.961501471,-37.81443746
31,144.961765686,-37.81416491
20,144.961765686,-37.81416491
120,144.961765686,-37.81416491
16,144.962614332,-37.81366479
10,144.962557399,-37.81354169
55,144.961414717,-37.81429206
20,144.961275896,-37.81398887
14,144.961275896,-37.81398887
36,144.961472428,-37.81377723
24,144.961472428,-37.81377723
24,144.961213744,-37.81385265
12,144.961213744,-37.81385265
22,144.961213744,-37.81385265
50,144.961213744,-37.81385265
100,144.961044245,-37.81403331
4,144.960689858,-37.8140298
6,144.960689858,-37.8140298
4,144.960779337,-37.81429462
45,144.961855696,-37.81381374
140,144.963297364,-37.8136056
16,144.963297364,-37.8136056
25,144.963297364,-37.8136056
58,144.963297364,-37.8136056
70,144.963297364,-37.8136056
40,144.963297364,-37.8136056
230,144.965008761,-37.81309363
110,144.965025183,-37.81284781
22,144.965025183,-37.81284781
120,144.96584595,-37.81296577
14,144.966304612,-37.81272181
70,144.966746951,-37.8129145
25,144.9672862,-37.81243254
30,144.9672862,-37.81243254
60,144.9672862,-37.81243254
100,144.9672862,-37.81243254
100,144.967624075,-37.81269894
4,144.96764258,-37.81247306
15,144.96764258,-37.81247306
80,144.967521419,-37.81222313
